综合,#genre#
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
江苏卫视,http://111.228.28.118:5002/623899368
江西卫视,http://111.228.28.118:5002/783847495
河北卫视,http://111.228.28.118:5002/962042070
河南卫视,http://111.228.28.118:5002/790187291
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
海南卫视,http://111.228.28.118:5002/947472502
海峡卫视,http://111.228.28.118:5002/849119120
湖北卫视,http://111.228.28.118:5002/947472496
东南卫视,http://111.228.28.118:5002/849116810
辽宁卫视,http://111.228.28.118:5002/630291707
宁夏卫视,http://111.228.28.118:5002/738910535
陕西卫视,http://111.228.28.118:5002/738910838
吉林卫视,http://111.228.28.118:5002/947472500
三沙卫视,http://111.228.28.118:5002/961023778
青海卫视,http://111.228.28.118:5002/947472506
兵团卫视,http://111.228.28.118:5002/956923145
大湾区卫视,http://111.228.28.118:5002/608917627
上海第一财经,http://111.228.28.118:5002/608780988
南京新闻综合,http://111.228.28.118:5002/838109047
黑龙江卫视,http://111.228.28.118:5002/738906901

海外,#genre#
港-凤凰香港,http://push.cdn1.hls123.de:8080/streams/898y722sqjr/index.m3u8
港-凤凰卫视,http://push.cdn1.hls123.de:8080/streams/a4y2t99pzyi/index.m3u8
新-新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
美-CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8
韩-BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩-阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩-MBC,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u
台-大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8

风景区,#genre#
直播中国1,http://gcalic.v.myalicdn.com/gc/gccntv241-slf01_1/index.m3u8?contentid=2820180516001
沧州南大港湿地,http://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8?contentid=2820180516001
盐城亭湖,https://gcalic.v.myalicdn.com/gc/tjhh02_1/index.m3u8?contentid=2820180516001
吉林朱雀云顶,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8?contentid=2820180516001
直播中国2,https://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8?contentid=2820180516001
昆明寻甸城区,https://gcalic.v.myalicdn.com/gc/mdjxxmhjyxj_1/index.m3u8?contentid=2820180516001
西安阎良关山石川河风景区,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8?contentid=2820180516001
南京玄武湖,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8?contentid=2820180516001
天山天池,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8?contentid=2820180516001
焦作红石峡,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8?contentid=2820180516001
舟山东极岛远眺东海,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8?contentid=2820180516001
乌镇蓝印花布,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8?contentid=2820180516001
乌镇白莲塔,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8?contentid=2820180516001
乌镇西市河,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8?contentid=2820180516001
天山天池,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8?contentid=2820180516001
安徽西递牌坊,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8?contentid=2820180516001
安徽黟县芦村远眺,https://gcalic.v.myalicdn.com/gc/yxlcyt_1/index.m3u8?contentid=2820180516001
平顶山尧山风景区,https://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8?contentid=2820180516001
西安长安三河水库,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8?contentid=2820180516001
红河月亮小镇,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8?contentid=2820180516001
巫山长江大桥,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8?contentid=2820180516001
徐州之夜,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8?contentid=2820180516001
全国风景总览,https://gcalic.v.myalicdn.com/gc/jhs05_1/index.m3u8?contentid=2820180516001
青岛艾山天文台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8?contentid=2820180516001
上海顾村公园,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8?contentid=2820180516001
南平武夷山玉女峰,https://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8?contentid=2820180516001
西双版纳前年古寨曼丢,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8?contentid=2820180516001
大理无量山樱花谷,https://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8?contentid=2820180516001
中卫沙坡头,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8?contentid=2820180516001
哈尔滨霁虹桥,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8?contentid=2820180516001
西藏山南浪卡子县鲁日拉观景台,https://gcalic.v.myalicdn.com/gc/hkts07_1/index.m3u8?contentid=2820180516001
承德金山岭长城,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8?contentid=2820180516001
邵阳良山八角寨,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8?contentid=2820180516001
泰山玉皇顶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8?contentid=2820180516001
黑龙江嘟噜河保护区,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8?contentid=2820180516001
普洱无量山羊山瀑布,https://gcalic.v.myalicdn.com/gc/blg05_1/index.m3u8?contentid=2820180516001
西安钟楼,https://gcalic.v.myalicdn.com/gc/blg03_1/index.m3u8?contentid=2820180516001
日喀则珠穆朗玛峰,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8?contentid=2820180516001
邵阳良山将军石,https://gcalic.v.myalicdn.com/gc/hnttbdjd_1/index.m3u8?contentid=2820180516001
普洱澜沧县景迈山,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8?contentid=2820180516001
湘西州凤凰古城,https://gcalic.v.myalicdn.com/gc/fhgcdnhs_1/index.m3u8?contentid=2820180516001
南京,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8?contentid=2820180516001
群山,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8?contentid=2820180516001
张家界迷魂台,https://gcalic.v.myalicdn.com/gc/zjjmht_1/index.m3u8?contentid=2820180516001
宣城溪桃大桥,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8?contentid=2820180516001
长沙田汉文化园,https://gcalic.v.myalicdn.com/gc/zsslstpt_1/index.m3u8?contentid=2820180516001
大熊猫保护研究中心1,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8
大熊猫保护研究中心2,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
大熊猫保护研究中心3,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
大熊猫保护研究中心4,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
大熊猫保护研究中心5,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
大熊猫保护研究中心6,http://gcalic.v.myalicdn.com/gc/xiongmao14_1/index.m3u8
大熊猫保护研究中心7,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
自然生态,http://gcalic.v.myalicdn.com/gc/xiongmao23_1/index.m3u8
茂密山林,http://gcalic.v.myalicdn.com/gc/xiongmao24_1/index.m3u8
大熊猫繁育研究基地,http://gcalic.v.myalicdn.com/gc/ipanda_1td/index.m3u8
大熊猫保护研究中心8,http://gcalic.v.myalicdn.com/gc/ipanda1000_1td/index.m3u8
